Phone Name,Free Delivery (Exact Match),Free Delivery (Partial Match),Price,RAM,ROM,Display,Camera,Battery,Processor,Warranty
"realme 70 TURBO 5G (Turbo Yellow, 128 GB)",Yes,Yes,"₹14,679",6 GB,128 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme Narzo 80x 5G (Sunlit Gold, 128 GB)",Yes,Yes,"₹12,706",6 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme Narzo 80x 5G (Deep Ocean, 128 GB)",Yes,Yes,"₹13,487",8 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme 70 TURBO 5G (Turbo Purple, 128 GB)",Yes,Yes,"₹14,547",6 GB,128 GB,16.94 cm (6.67 inch) Full HD+ Display,50MP Rear Camera,5000 mAh Battery,Segment's Fastest Dimensity 7300 Energy 5G Chipset Processor,
"realme Narzo 70 Pro 5G (Green, Glass Green, 128 GB)",Yes,Yes,"₹19,195",8 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 50 (Speed Blue, 128 GB)",No,No,"₹12,999",6 GB,128 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G96 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 50 (Speed Black, 128 GB)",No,No,"₹12,999",6 GB,128 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G96 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 50 (Speed Blue, 64 GB)",No,No,"₹10,499",4 GB,64 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G96 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 50 (Speed Black, 64 GB)",No,No,"₹10,499",4 GB,64 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio G96 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 50A Prime (Flash Black, 64 GB)",No,No,"₹13,499",4 GB,64 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo N55 (Prime Black, 64 GB)",Yes,Yes,"₹9,899",4 GB,64 GB,17.07 cm (6.72 inch) Display,64MP Rear Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 20A (Glory Silver, 64 GB)",Yes,Yes,"₹12,141",4 GB,64 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme NARZO 50A PRIME (FLASH BLUE, 64 GB)",Yes,Yes,"₹8,990",4 GB,64 GB,16.76 cm (6.6 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,,
"realme Narzo 20 Pro (Black Ninja, 64 GB)",No,No,"₹16,999",6 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4500 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme Narzo 10 (That Blue, 128 GB)",No,No,"₹12,999",4 GB,128 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme Narzo 30 (Racing Silver, 128 GB)",No,No,"₹12,999",6 GB,128 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme narzo 50 5G (Hyper Black, 64 GB)",Yes,Yes,"₹17,999",4 GB,64 GB,16.76 cm (6.6 inch) Display,48MP Rear Camera,5000 mAh Battery,,12Months Brand Warranty
"realme Narzo 30A (Laser Black, 32 GB)",No,No,"₹9,999",3 GB,32 GB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 5G (Racing Blue, 128 GB)",No,No,"₹17,999",6 GB,128 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Dimensity 700 (MT6833) Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 5G (Racing Silver, 128 GB)",No,No,"₹17,999",6 GB,128 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Dimensity 700 (MT6833) Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 50 Pro 5G (Hyper Blue, 128 GB)",Yes,Yes,"₹27,999",8 GB,128 GB,16.26 cm (6.4 inch) Display,48MP Rear Camera,5000 mAh Battery,Dimensity 920 5G Processor Processor,12Months Brand Warranty
